alg,seed,mass,viol,nfe,x
EAO,2026,0.2671001490365187,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(79.999997), np.float64(55.20219), np.float64(40.0), np.float64(0.3)]"
EAO,2027,0.2671032256045804,0.0,15030,"[np.float64(4.716186), np.float64(3.0), np.float64(2.000012), np.float64(79.999998), np.float64(55.246932), np.float64(40.0), np.float64(0.3)]"
EAO,2028,0.26710145953109593,0.0,15030,"[np.float64(4.716915), np.float64(3.000001), np.float64(2.000007), np.float64(79.997561), np.float64(55.216385), np.float64(40.000001), np.float64(0.300003)]"
EAO,2029,0.2671001789633677,0.0,15030,"[np.float64(4.717187), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.20249), np.float64(40.0), np.float64(0.300009)]"
EAO,2030,0.267101452863841,0.0,15030,"[np.float64(4.716738), np.float64(3.0), np.float64(2.0), np.float64(79.999986), np.float64(55.222461), np.float64(40.0), np.float64(0.3)]"
EAO,2031,0.2671004110183187,0.0,15030,"[np.float64(4.717157), np.float64(3.000005), np.float64(2.000008), np.float64(80.0), np.float64(55.203642), np.float64(40.0), np.float64(0.3)]"
EAO,2032,0.26710015395596,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202191), np.float64(40.000001), np.float64(0.3)]"
EAO,2033,0.2671039422259865,0.0,15030,"[np.float64(4.7168), np.float64(3.000005), np.float64(2.0), np.float64(79.986191), np.float64(55.230547), np.float64(40.00001), np.float64(0.300013)]"
EAO,2034,0.2671001480704652,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
EAO,2035,0.267100148623345,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
EAO,2036,0.26710015119156094,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202212), np.float64(40.0), np.float64(0.3)]"
EAO,2037,0.27307088484392983,0.0,15030,"[np.float64(3.44281), np.float64(3.0), np.float64(6.43625), np.float64(80.0), np.float64(40.237067), np.float64(40.0), np.float64(0.300029)]"
EAO,2038,0.26710014812991467,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
EAO,2039,0.26710014837365736,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(79.999999), np.float64(55.202188), np.float64(40.0), np.float64(0.3)]"
EAO,2040,0.26710015221409134,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202187), np.float64(40.000001), np.float64(0.3)]"
EAO,2041,0.26710025713343866,0.0,15030,"[np.float64(4.717193), np.float64(3.0), np.float64(2.0), np.float64(79.999998), np.float64(55.202187), np.float64(40.000022), np.float64(0.300004)]"
EAO,2042,0.26710015634285506,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202188), np.float64(40.000001), np.float64(0.300001)]"
EAO,2043,0.2671001480734377,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
EAO,2044,0.2671001718205172,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(79.999972), np.float64(55.202221), np.float64(40.000002), np.float64(0.300001)]"
EAO,2045,0.26710074383710114,0.0,15030,"[np.float64(4.717174), np.float64(3.0), np.float64(2.000064), np.float64(80.0), np.float64(55.202005), np.float64(40.0), np.float64(0.300149)]"
EAO,2046,0.26710015710678037,0.0,15030,"[np.float64(4.717193), np.float64(3.0), np.float64(2.000001), np.float64(80.0), np.float64(55.20221), np.float64(40.0), np.float64(0.3)]"
EAO,2047,0.26710015199115594,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(79.999982), np.float64(55.202206), np.float64(40.0), np.float64(0.3)]"
EAO,2048,0.2671001503681862,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202191), np.float64(40.0), np.float64(0.300001)]"
EAO,2049,0.2730708413655806,0.0,15030,"[np.float64(3.442803), np.float64(3.0), np.float64(6.436269), np.float64(80.0), np.float64(40.237072), np.float64(40.0), np.float64(0.3)]"
EAO,2050,0.26710014871846416,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202187), np.float64(40.0), np.float64(0.3)]"
EAO,2051,0.26710019851331657,0.0,15030,"[np.float64(4.717189), np.float64(3.0), np.float64(2.000001), np.float64(79.999986), np.float64(55.202385), np.float64(40.0), np.float64(0.30002)]"
EAO,2052,0.2730729818159797,0.0,15030,"[np.float64(3.442765), np.float64(3.000003), np.float64(6.436328), np.float64(79.999988), np.float64(40.237233), np.float64(40.000165), np.float64(0.300491)]"
EAO,2053,0.26710015128965253,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(79.999988), np.float64(55.202202), np.float64(40.0), np.float64(0.3)]"
EAO,2054,0.27308331853713785,0.0,15030,"[np.float64(3.442831), np.float64(3.000075), np.float64(6.435871), np.float64(79.999745), np.float64(40.240739), np.float64(40.000433), np.float64(0.302007)]"
EAO,2055,0.2671001481388321,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202187), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2026,0.2671001480704652,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2027,0.2671001508735064,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(79.999992), np.float64(55.202196), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2028,0.2730732769675958,0.0,15030,"[np.float64(3.442778), np.float64(3.000265), np.float64(6.436149), np.float64(80.0), np.float64(40.235374), np.float64(40.000002), np.float64(0.300007)]"
RS-EAO,2029,0.2671001481120798,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2030,0.26710014812991467,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2031,0.26710014813585964,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2032,0.2671001484598591,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202187), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2033,0.2730708672736473,0.0,15030,"[np.float64(3.442794), np.float64(3.0), np.float64(6.436291), np.float64(80.0), np.float64(40.237085), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2034,0.2671001483706849,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202187), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2035,0.2671001480615478,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2036,0.2671001481596394,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2037,0.27307082242201597,0.0,15030,"[np.float64(3.44281), np.float64(3.0), np.float64(6.436251), np.float64(80.0), np.float64(40.237062), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2038,0.2671001481477495,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202187), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2039,0.26710014814477706,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202187), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2040,0.2671001480972175,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2041,0.2671001481596394,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2042,0.26710014814477706,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2043,0.2730708215837788,0.0,15030,"[np.float64(3.44281), np.float64(3.0), np.float64(6.436251), np.float64(80.0), np.float64(40.237062), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2044,0.2671001481061349,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202187), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2045,0.2671001483558226,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.20219), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2046,0.26710014815072197,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202187), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2047,0.26710014806749277,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2048,0.2671001480853276,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2049,0.2730708450187488,0.0,15030,"[np.float64(3.44281), np.float64(3.0), np.float64(6.436251), np.float64(80.0), np.float64(40.237063), np.float64(40.0), np.float64(0.300011)]"
RS-EAO,2050,0.2671001482934006,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2051,0.2671001495685912,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2052,0.2671052909376374,0.0,15030,"[np.float64(4.716257), np.float64(3.000035), np.float64(2.000014), np.float64(79.999411), np.float64(55.242392), np.float64(40.000105), np.float64(0.300989)]"
RS-EAO,2053,0.2671001482161164,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2054,0.2671001480912725,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202187), np.float64(40.0), np.float64(0.3)]"
RS-EAO,2055,0.26710014827556583,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(79.999999), np.float64(55.202187), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2026,0.26710137980939447,0.0,15030,"[np.float64(4.717174), np.float64(3.00006), np.float64(2.0), np.float64(80.0), np.float64(55.202265), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2027,0.26710023297913044,0.0,15030,"[np.float64(4.71719), np.float64(3.0), np.float64(2.0), np.float64(79.99959), np.float64(55.202683), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2028,0.267100857807626,0.0,15030,"[np.float64(4.717177), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202257), np.float64(40.0), np.float64(0.300639)]"
AS-ABMO,2029,0.2671001489919316,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202199), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2030,0.2671403455060857,0.0,15030,"[np.float64(4.716214), np.float64(3.0), np.float64(2.000269), np.float64(80.0), np.float64(55.204454), np.float64(40.000003), np.float64(0.334683)]"
AS-ABMO,2031,0.27353120672867953,0.0,15030,"[np.float64(3.479214), np.float64(3.0), np.float64(6.304856), np.float64(80.0), np.float64(40.765388), np.float64(40.0), np.float64(0.300276)]"
AS-ABMO,2032,0.2730709947837825,0.0,15030,"[np.float64(3.442753), np.float64(3.0), np.float64(6.43639), np.float64(80.0), np.float64(40.237133), np.float64(40.000002), np.float64(0.3)]"
AS-ABMO,2033,0.2671001904281925,0.0,15030,"[np.float64(4.717193), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202189), np.float64(40.0), np.float64(0.300037)]"
AS-ABMO,2034,0.26710015743672477,0.0,15030,"[np.float64(4.717193), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.20226), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2035,0.2671001493516007,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202205), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2036,0.26710020816493346,0.0,15030,"[np.float64(4.717174), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.203099), np.float64(40.0), np.float64(0.300002)]"
AS-ABMO,2037,0.2671001532425667,0.0,15030,"[np.float64(4.717192), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202267), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2038,0.2671002421670417,0.0,15030,"[np.float64(4.717193), np.float64(3.000004), np.float64(2.000003), np.float64(80.0), np.float64(55.202173), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2039,0.2671002455021554,0.0,15030,"[np.float64(4.717192), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202197), np.float64(40.0), np.float64(0.300088)]"
AS-ABMO,2040,0.2743254013512119,0.0,15030,"[np.float64(4.368083), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(80.0), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2041,0.2671002130249253,0.0,15030,"[np.float64(4.717171), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.2032), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2042,0.27501665938716746,0.0,15030,"[np.float64(3.0), np.float64(3.0), np.float64(7.492188), np.float64(80.0), np.float64(41.081842), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2043,0.26710016381862234,0.0,15030,"[np.float64(4.717189), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.20243), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2044,0.2676018917610063,0.0,15030,"[np.float64(4.705437), np.float64(3.000177), np.float64(2.0), np.float64(80.0), np.float64(55.240916), np.float64(40.0), np.float64(0.749564)]"
AS-ABMO,2045,0.26765420836959053,0.0,15030,"[np.float64(4.704168), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.246086), np.float64(40.0), np.float64(0.8)]"
AS-ABMO,2046,0.2671001483350153,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2047,0.2730708553361994,0.0,15030,"[np.float64(3.442797), np.float64(3.0), np.float64(6.436283), np.float64(80.0), np.float64(40.237079), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2048,0.27432540990301413,0.0,15030,"[np.float64(4.368086), np.float64(3.0), np.float64(2.0), np.float64(79.999883), np.float64(80.0), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2049,0.2671001483558226,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.20219), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2050,0.26710014942591254,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202206), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2051,0.2671002976303984,0.0,15030,"[np.float64(4.717191), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202275), np.float64(40.00003), np.float64(0.3)]"
AS-ABMO,2052,0.26710014809424504,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202186), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2053,0.2671001493664631,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202205), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2054,0.26710014814180455,0.0,15030,"[np.float64(4.717194), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.202187), np.float64(40.0), np.float64(0.3)]"
AS-ABMO,2055,0.2730708230135379,0.0,15030,"[np.float64(3.44281), np.float64(3.0), np.float64(6.436251), np.float64(80.0), np.float64(40.237063), np.float64(40.0), np.float64(0.3)]"
GWO_deb,2026,0.2671503009274416,0.0,15030,"[np.float64(4.715225), np.float64(3.0), np.float64(2.005798), np.float64(80.0), np.float64(55.195987), np.float64(40.0), np.float64(0.309189)]"
GWO_deb,2027,0.26716519064949307,0.0,15030,"[np.float64(4.709097), np.float64(3.0), np.float64(2.000417), np.float64(80.0), np.float64(55.599702), np.float64(40.0), np.float64(0.303872)]"
GWO_deb,2028,0.27315696428862885,0.0,15030,"[np.float64(3.444914), np.float64(3.0), np.float64(6.431839), np.float64(80.0), np.float64(40.271396), np.float64(40.0), np.float64(0.304348)]"
GWO_deb,2029,0.2676107204370921,0.0,15030,"[np.float64(4.692161), np.float64(3.000742), np.float64(2.0), np.float64(80.0), np.float64(55.903792), np.float64(40.0), np.float64(0.69446)]"
GWO_deb,2030,0.26725779154041474,0.0,15030,"[np.float64(4.693921), np.float64(3.0), np.float64(2.00469), np.float64(80.0), np.float64(56.153981), np.float64(40.0), np.float64(0.33974)]"
GWO_deb,2031,0.2678415015174015,0.0,15030,"[np.float64(4.651243), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(57.859537), np.float64(40.0), np.float64(0.715135)]"
GWO_deb,2032,0.26774746116228354,0.0,15030,"[np.float64(4.689328), np.float64(3.001783), np.float64(2.009743), np.float64(80.0), np.float64(55.836987), np.float64(40.0), np.float64(0.735512)]"
GWO_deb,2033,0.2673272781227569,0.0,15030,"[np.float64(4.679933), np.float64(3.0), np.float64(2.000278), np.float64(80.0), np.float64(56.856938), np.float64(40.0), np.float64(0.364673)]"
GWO_deb,2034,0.2673113755130062,0.0,15030,"[np.float64(4.687411), np.float64(3.0), np.float64(2.000349), np.float64(79.868174), np.float64(56.664773), np.float64(40.0), np.float64(0.340753)]"
GWO_deb,2035,0.26735380676734666,0.0,15030,"[np.float64(4.705329), np.float64(3.0), np.float64(2.0), np.float64(79.414276), np.float64(56.143467), np.float64(40.0), np.float64(0.386892)]"
GWO_deb,2036,0.2677889177430259,0.0,15030,"[np.float64(4.670577), np.float64(3.0), np.float64(2.000731), np.float64(79.964619), np.float64(56.855697), np.float64(40.0), np.float64(0.775059)]"
GWO_deb,2037,0.267570975590072,0.0,15030,"[np.float64(4.696612), np.float64(3.0), np.float64(2.0), np.float64(80.0), np.float64(55.718197), np.float64(40.00019), np.float64(0.686183)]"
GWO_deb,2038,0.2734671096484362,0.0,15030,"[np.float64(3.436929), np.float64(3.0), np.float64(6.436354), np.float64(80.0), np.float64(40.290531), np.float64(40.0), np.float64(0.48422)]"
