dim,fid,alg,mean,std,median,best,rank
10,1,EAO,6.049075655785904e-07,1.8433067885179247e-06,5.832134775118902e-11,1.7053025658242404e-13,4.0
10,1,RS-EAO,4.7369515717340014e-14,3.365661882053018e-14,5.684341886080802e-14,0.0,2.5
10,1,AS-ABMO,4.7369515717340014e-14,5.1890704592965266e-14,5.684341886080802e-14,0.0,2.5
10,1,RUN,725.9644471378216,413.03881175202605,649.9493242994429,188.64579013198806,6.0
10,1,GWO,126.83066512943579,51.20474813710687,119.77621428596106,60.227794452158264,5.0
10,1,WOA,2257.3370461281597,2319.267050689117,1573.4980471346455,66.81155214354936,9.0
10,1,HHO,937.268020819957,625.3742291931103,764.923488704388,161.315772553864,7.0
10,1,SCA,1075.2588302990523,499.1407460369537,863.853211390935,203.04043065486792,8.0
10,1,LSHADE,0.0,0.0,0.0,0.0,1.0
10,2,EAO,5.3356289414541775,3.5832695437292514,5.916860288051339,0.0006156470676614845,2.0
10,2,RS-EAO,3.890708719495255,3.7512243373682463,3.987925049714704,1.707235242065508e-09,1.0
10,2,AS-ABMO,7.507114266362643,12.156123481611184,6.048884996192925,0.012825400520341645,4.0
10,2,RUN,55.670842151099095,55.261462058620054,47.96989276661185,13.491548528997214,7.0
10,2,GWO,37.12395606035789,24.233176068624275,24.49580983696731,15.905552298139355,5.0
10,2,WOA,48.2477386540768,60.297210973875394,28.986215185725143,4.597278494571526,6.0
10,2,HHO,114.71756702346973,89.19262288475385,97.69509224638054,4.330504071827249,8.0
10,2,SCA,125.70916910406831,25.699207074707815,124.3242252160336,50.87169707356901,9.0
10,2,LSHADE,6.146976979229534,3.680052582077778,8.916101927781312,0.0,3.0
10,3,EAO,4.736951571734002e-13,5.828223034447893e-13,2.2737367544323206e-13,1.1368683772161603e-13,4.0
10,3,RS-EAO,5.3053857603420815e-14,6.495457270413748e-14,0.0,0.0,2.0
10,3,AS-ABMO,7.958078640513122e-14,7.403954534572188e-14,1.1368683772161603e-13,0.0,3.0
10,3,RUN,0.020208255470811308,0.01049143982568373,0.017337904220880773,0.005551491647111106,8.0
10,3,GWO,0.008378674889574238,0.0021265843456083964,0.008405383829824586,0.004673541708143603,7.0
10,3,WOA,0.0010724230049542409,0.0030454054286351046,8.0008041891233e-05,3.7426256085382192e-06,5.0
10,3,HHO,0.006599889114985065,0.005086267097755512,0.004930817694628331,0.0003028138509080236,6.0
10,3,SCA,0.0451547429979352,0.015367371825573142,0.04263754687815435,0.019549367902413906,9.0
10,3,LSHADE,0.0,0.0,0.0,0.0,1.0
10,4,EAO,45.066394494244705,13.748158010203039,42.735648261385165,17.632321777318452,6.0
10,4,RS-EAO,39.94666852709838,9.103653971206796,40.5377562701114,20.44599064840395,2.0
10,4,AS-ABMO,44.90340509232524,17.432362411275385,44.0,10.0,5.0
10,4,RUN,40.497712137953364,11.899868292351542,38.00011375739683,22.011402257522604,3.0
10,4,GWO,41.24305112292638,10.185320675780002,40.30393774301433,18.879151471665296,4.0
10,4,WOA,96.07639156973732,34.76909508033018,96.71163222424161,33.17716743004905,9.0
10,4,HHO,62.45589484295174,27.88635029797737,50.0,26.000335402772976,7.0
10,4,SCA,63.11584806479604,14.853377689811815,64.19512194816735,34.20662156857338,8.0
10,4,LSHADE,16.28860721029769,4.77059375451268,16.000319167051146,8.218226264007626,1.0
10,5,EAO,0.005974371971024084,0.022713109085645618,7.585373396068462e-07,2.2737367544323206e-13,2.0
10,5,RS-EAO,0.008952825041770513,0.027317627617724802,1.1368683772161603e-13,0.0,3.0
10,5,AS-ABMO,0.2177629612899409,0.4469218684266243,7.389644451905042e-13,2.2737367544323206e-13,5.0
