problem,alg,exact,best,median,mean,std,n_infeasible
truss,EAO,263.8957962089473,263.89584337646835,263.8958433764684,263.89584337646835,4.222223155399021e-14,0
truss,RS-EAO,263.8957962089473,263.89584337646835,263.8958433764684,263.89584337646835,5.171146155445763e-14,0
truss,AS-ABMO,263.8957962089473,263.89584349370205,263.89587688936695,263.89591773609584,0.00010093200106269403,0
truss,GWO,263.8957962089473,263.89623770476067,263.9033935970949,265.7971939485197,5.7790082583226505,0
truss,WOA,263.8957962089473,263.89615689387585,265.38230055554845,266.5880810259475,3.8802004378309274,0
truss,SCA,263.8957962089473,263.92532862891073,264.1925752779634,268.5169426322623,8.03955345283772,0
truss,HHO,263.8957962089473,263.89587606373703,264.22541275391427,264.4841854927933,0.6655272140819523,0
spring,EAO,0.012665232786752504,0.012665232792442931,0.012667279234521912,0.012709362837228172,0.00011180499877354793,2
spring,RS-EAO,0.012665232786752504,0.012665232788412565,0.012665316043934723,0.012666554212382108,3.1418870969935376e-06,0
spring,AS-ABMO,0.012665232786752504,0.012666346241881827,0.012718632084478801,0.012809942962999143,0.00025064996693953585,0
spring,GWO,0.012665232786752504,0.01268695965415719,0.012731845700102735,0.0127881239680125,0.00015336312935660686,0
spring,WOA,0.012665232786752504,0.012667254157305295,0.013472797663013701,0.013922462856789398,0.001142575168166607,1
spring,SCA,0.012665232786752504,0.012771096205041903,0.013159900492285426,0.013174820259808625,0.0003915177811971934,0
spring,HHO,0.012665232786752504,0.012684184175065574,0.013375322927228064,0.01374248775739972,0.0011069694597262596,0
vessel_discrete,EAO,6059.714335042069,6059.714335048436,6059.714335051002,6092.23623909814,84.14768010990072,0
vessel_discrete,RS-EAO,6059.714335042069,6059.714335048436,6059.714335048437,6061.768463931543,7.81721991179283,0
vessel_discrete,AS-ABMO,6059.714335042069,6059.7143350484375,6090.526201687715,6435.098182136256,505.13244944845223,0
vessel_discrete,GWO,6059.714335042069,6059.950464792603,6064.022582403095,6281.824604611609,394.21547765593544,0
vessel_discrete,WOA,6059.714335042069,6814.747874473907,10014.593588738513,11655.957338270498,4349.1280176984765,0
vessel_discrete,SCA,6059.714335042069,6465.790233411549,7366.395049817842,7534.547476524322,764.6031697627591,0
vessel_discrete,HHO,6059.714335042069,6876.921868750132,10566.722012027965,11307.92671006638,4099.11937754068,0
welded,EAO,1.6952471647006684,1.6952471649039855,1.695247164905222,1.6952471649092646,1.6482550549931e-11,0
welded,RS-EAO,1.6952471647006684,1.6952471649037544,1.695247164903755,1.695247164903756,3.071763093070428e-15,0
welded,AS-ABMO,1.6952471647006684,1.6952471663557471,1.6952482822575288,1.6953324077258058,0.0002928532829659059,0
welded,GWO,1.6952471647006684,1.6962881967586276,1.7001684029637751,1.7006009849728827,0.00313707300134976,0
welded,WOA,1.6952471647006684,1.743782310702935,3.124867253087533,3.4932923145309127,1.8266062713434026,0
welded,SCA,1.6952471647006684,1.7820219747056456,1.8611505175912746,1.8679501972064523,0.05448996305059992,0
welded,HHO,1.6952471647006684,1.7218504006906858,2.789193352591497,2.9646184949021444,0.806563253884034,0
reducer,EAO,2994.467037620386,2994.47106614693,2994.471066148861,2994.471067153682,4.6628394768917005e-06,0
reducer,RS-EAO,2994.467037620386,2994.4710661468202,2994.4710661468207,2994.4710661468644,2.18449779696407e-10,0
reducer,AS-ABMO,2994.467037620386,2994.471066146823,2999.1386162657786,3155.4556215654998,584.931872216204,0
reducer,GWO,2994.467037620386,2998.825624244537,3007.4475927967524,3007.5044343312406,4.321596805452028,0
reducer,WOA,2994.467037620386,3120.2521952072198,4593.032962051483,4417.392618738974,914.5188246285252,5
reducer,SCA,2994.467037620386,3082.436272813068,3161.8879469581625,3152.544271822545,38.49816348055752,0
reducer,HHO,2994.467037620386,3003.709842416145,4259.715861328908,4329.402789672332,759.2722232422458,0
cantilever,EAO,1.339956360598688,1.3399563606303546,1.3399564471761125,1.3399577654115788,6.136726933304258e-06,0
cantilever,RS-EAO,1.339956360598688,1.339956360718067,1.3399563843213178,1.3399564376014377,1.5697098771264896e-07,0
cantilever,AS-ABMO,1.339956360598688,1.3399581938008494,1.339967118711076,1.339971638088192,1.2159783766000312e-05,0
cantilever,GWO,1.339956360598688,1.3399733956126723,1.3400643948776971,1.3401300070849074,0.00017587979853563767,0
cantilever,WOA,1.339956360598688,1.3563876679797955,2.5288161546541024,2.766756950724876,1.028215730872241,0
cantilever,SCA,1.339956360598688,1.3533330181963958,1.4169797276998164,1.4187055786706628,0.0342850988189707,0
cantilever,HHO,1.339956360598688,1.357792665902037,1.4976218311563105,1.5400389776710943,0.12220285876805081,0
clutch,EAO,0.2352424579008037,0.2352424579008037,0.3308097064230052,0.2893972320633846,0.04816655582232446,0
clutch,RS-EAO,0.2352424579008037,0.2352424579008037,0.2352424579008037,0.23524245790080375,5.646012854083702e-17,0
clutch,AS-ABMO,0.2352424579008037,0.2352424579008037,0.2352424579008037,0.23524245790080375,5.646012854083702e-17,0
clutch,GWO,0.2352424579008037,0.2352424579008037,0.2352424579008037,0.23524245790080375,5.646012854083702e-17,0
clutch,WOA,0.2352424579008037,0.2352424579008037,0.2352424579008037,0.2385799602722714,0.010911358492713416,0
clutch,SCA,0.2352424579008037,0.2352424579008037,0.2352424579008037,0.23524245790080375,5.646012854083702e-17,0
clutch,HHO,0.2352424579008037,0.2352424579008037,0.2842022944514085,0.28136468230298006,0.0452488249159365,0
