scale,seed,mass,viol,t1,t2,tr,hr,lr,W,rf_ratio
0.4,2026,0.2671001480704652,0.0,4.717194312234713,3.0000000001226463,2.000000000029027,79.99999991886897,55.202186165948454,40.00000000206387,0.3000000065219195
0.4,2027,0.2671001508735064,0.0,4.71719420581113,3.000000037344841,2.0000000373318327,79.99999164328689,55.20219640239437,40.0000000006127,0.30000000425997553
0.4,2028,0.2730732769675958,0.0,3.4427783696080656,3.000265219705317,6.436149359684094,79.99999989642309,40.235373864540705,40.000002464516676,0.3000067696176692
0.4,2029,0.2671001481120798,0.0,4.717194309225712,3.0000000012483907,2.0000000022167197,79.9999999995993,55.20218619845333,40.00000000446092,0.30000000005372984
0.4,2030,0.26710014812991467,0.0,4.717194315764001,3.0000000014808643,2.000000002236759,79.99999999909683,55.20218590221641,40.00000000061918,0.30000000979450603
0.5,2026,0.28402046428703365,0.0,5.134956324489957,3.0000000007846888,2.0000000008327254,79.99999999999329,61.33231598993269,40.000000094033126,0.3000000609805799
0.5,2027,0.28402046360039257,0.0,5.134956334664663,3.00000000071468,2.000000000134192,79.99999996604834,61.33231577494719,40.00000000233318,0.3000000102791221
0.5,2028,0.2840204635944476,0.0,5.134956336929371,3.0000000001296057,2.0000000045301456,79.99999999662315,61.33231562060977,40.00000000128983,0.300000007944332
0.5,2029,0.28402046357958527,0.0,5.134956335117938,3.000000000118663,2.000000003357508,79.99999997834578,61.33231572012925,40.000000001037336,0.3000000039574423
0.5,2030,0.28402046362714484,0.0,5.13495632875566,3.000000000016337,2.0000000068643025,79.99999997468387,61.33231596857155,40.000000000041815,0.30000000369129093
0.6,2026,0.29882044556320586,0.0,5.513888766903663,3.0000000001062084,2.0000000000700195,79.99999998312218,66.25118365618466,40.000000000402345,0.3000000001019949
0.6,2027,0.2988204455572609,0.0,5.513888767562373,3.0000000001455147,2.0000000000966915,79.99999994755271,66.25118363315796,40.00000000191624,0.3
0.6,2028,0.29882044613094805,0.0,5.5138887521749425,3.000000000007167,2.000000000147965,79.99999980145668,66.25118392034669,40.00000000999807,0.3000004323873964
0.6,2029,0.2988204456969671,0.0,5.5138887662674145,3.000000000729494,2.000000000042943,79.99999976941223,66.25118388733662,40.000000000314294,0.30000005534274304
0.6,2030,0.2988204463479385,0.0,5.513888755280757,3.0000000442428867,2.0,79.99999998752715,66.25118351073812,40.00000000112377,0.3
0.7,2026,0.3120342942000042,0.0,5.855662859209702,3.00000000015852,2.0000000010272325,80.0,70.57352498387692,40.000000007549794,0.3000011454688456
0.7,2027,0.3120342929902081,0.0,5.855662886978448,3.0000000006898118,2.000000000759674,79.999999972918,70.57352541755195,40.00000000433571,0.3000000017077563
0.7,2028,0.3120342929783182,0.0,5.855662892754653,3.000000000588651,2.0000000010309735,79.99999998963193,70.57352506976123,40.0,0.30000002136184356
0.7,2029,0.31203429340635414,0.0,5.855662844373592,3.00000000090532,2.0000000003281837,79.99999999165608,70.57352767625858,40.00000001613431,0.30000000105915364
0.7,2030,0.31203429771049374,0.0,5.85566283015998,3.0000002546453657,2.000000000204197,80.0,70.57352392229572,40.00000000697568,0.300000000526145
0.8,2026,0.3240142400162302,0.0,6.162512010391723,3.0000000000116276,2.0000000115420553,79.99999999495076,74.67348093869656,40.000000234386995,0.3000000023871188
0.8,2027,0.3240142387142874,0.0,6.162512026414092,3.000000001125927,2.00000000048697,79.9999999860361,74.67348106496462,40.000000004058634,0.3000000118101957
0.8,2028,0.32401423883021385,0.0,6.162512023348312,3.000000000030858,2.0000000085390033,79.99999997874387,74.67348092000763,40.00000000334599,0.3000001343095011
0.8,2029,0.3240142386310582,0.0,6.162512030183157,3.0000000000143614,2.0000000018299526,79.99999994934127,74.67348096479378,40.000000000522455,0.30000000131880006
0.8,2030,0.32401423863997564,0.0,6.162512026771733,3.0,2.0000000024958333,79.99999997810974,74.67348104228357,40.00000000114066,0.3000000092529048
