function,dim,variant,seed,err,feeds
F12022,10,RS-EAO,1025,0.0,7
F12022,10,RS-EAO,1026,0.0,7
F12022,10,RS-EAO,1027,0.0,7
F12022,10,RS-EAO,1028,5.684341886080802e-14,8
F12022,10,RS-EAO,1029,5.684341886080802e-14,8
F22022,10,EAO,1000,8.916102028550597,0
F22022,10,EAO,1001,6.028928928073299,0
F22022,10,EAO,1002,8.916101928768569,0
F22022,10,EAO,1003,6.899807865824641,0
F22022,10,EAO,1004,8.916101927801378,0
F22022,10,EAO,1005,8.916101927782279,0
F22022,10,EAO,1006,4.576264576873655,0
F22022,10,EAO,1007,0.004909385179189485,0
F22022,10,EAO,1008,0.006850131543330917,0
F22022,10,EAO,1009,8.91610192785862,0
F22022,10,EAO,1010,0.011816550606624787,0
F22022,10,EAO,1011,6.460471930703989,0
F22022,10,EAO,1012,5.866252444878285,0
F22022,10,EAO,1013,8.91610205447273,0
F22022,10,EAO,1014,8.916102001351874,0
F22022,10,EAO,1015,8.916102040943997,0
F22022,10,EAO,1016,5.253566213959573,0
F22022,10,EAO,1017,0.0004545890373037764,0
F22022,10,EAO,1018,0.2950476905313053,0
F22022,10,EAO,1019,0.018916114249975635,0
F22022,10,EAO,1020,4.383254463193737,0
F22022,10,EAO,1021,4.039863575492575,0
F22022,10,EAO,1022,8.916101927781767,0
F22022,10,EAO,1023,8.916101927782847,0
F22022,10,EAO,1024,6.67734534761513,0
F22022,10,EAO,1025,8.916101929321428,0
F22022,10,EAO,1026,6.029900178753678,0
F22022,10,EAO,1027,5.482807573611524,0
F22022,10,EAO,1028,8.916101928306603,0
F22022,10,EAO,1029,8.916101930580567,0
F22022,10,EAO+M2,1000,8.916101927781312,0
F22022,10,EAO+M2,1001,3.9865796353799965,0
F22022,10,EAO+M2,1002,8.91610192778137,0
F22022,10,EAO+M2,1003,8.916101927781483,0
F22022,10,EAO+M2,1004,3.9866271081160107,0
F22022,10,EAO+M2,1005,3.9974344235976673,0
F22022,10,EAO+M2,1006,3.9866166874354576,0
F22022,10,EAO+M2,1007,8.916101927781312,0
F22022,10,EAO+M2,1008,8.91610192778137,0
F22022,10,EAO+M2,1009,8.91610192778137,0
F22022,10,EAO+M2,1010,8.916101927782279,0
F22022,10,EAO+M2,1011,8.91610192778137,0
F22022,10,EAO+M2,1012,3.986580782903218,0
F22022,10,EAO+M2,1013,8.91610192778137,0
F22022,10,EAO+M2,1014,8.916101927781426,0
F22022,10,EAO+M2,1015,3.9865839041792697,0
F22022,10,EAO+M2,1016,3.4962040956543206e-05,0
F22022,10,EAO+M2,1017,3.9865791332480285,0
F22022,10,EAO+M2,1018,3.9866697444051624,0
F22022,10,EAO+M2,1019,8.91610192778137,0
F22022,10,EAO+M2,1020,4.009475129508587,0
F22022,10,EAO+M2,1021,4.084398464848448,0
F22022,10,EAO+M2,1022,6.161140515814623e-05,0
F22022,10,EAO+M2,1023,8.916101927781312,0
F22022,10,EAO+M2,1024,4.107513601996857,0
F22022,10,EAO+M2,1025,4.001659921405235,0
F22022,10,EAO+M2,1026,3.9865804155804767,0
F22022,10,EAO+M2,1027,3.9865791135620725,0
F22022,10,EAO+M2,1028,3.9866083741136435,0
F22022,10,EAO+M2,1029,8.916101927781426,0
F22022,10,EAO+feed,1000,8.916102028550597,0
F22022,10,EAO+feed,1001,6.028928928073299,0
F22022,10,EAO+feed,1002,8.916101928768569,0
F22022,10,EAO+feed,1003,6.899807865824641,0
F22022,10,EAO+feed,1004,8.916101927801378,0
F22022,10,EAO+feed,1005,8.916101927782279,0
F22022,10,EAO+feed,1006,4.576264576873655,0
F22022,10,EAO+feed,1007,0.004909385179189485,0
F22022,10,EAO+feed,1008,0.006850131543330917,0
F22022,10,EAO+feed,1009,8.91610192785862,0
F22022,10,EAO+feed,1010,0.011816550606624787,0
F22022,10,EAO+feed,1011,6.460471930703989,0
F22022,10,EAO+feed,1012,5.866252444878285,0
F22022,10,EAO+feed,1013,8.91610205447273,0
F22022,10,EAO+feed,1014,8.916102001351874,0
F22022,10,EAO+feed,1015,8.916102040943997,0
F22022,10,EAO+feed,1016,5.253566213959573,0
F22022,10,EAO+feed,1017,0.0004545890373037764,0
F22022,10,EAO+feed,1018,0.2950476905313053,0
F22022,10,EAO+feed,1019,0.018916114249975635,0
F22022,10,EAO+feed,1020,4.383254463193737,0
F22022,10,EAO+feed,1021,4.039863575492575,0
F22022,10,EAO+feed,1022,8.916101927781767,0
F22022,10,EAO+feed,1023,8.916101927782847,0
F22022,10,EAO+feed,1024,6.67734534761513,0
F22022,10,EAO+feed,1025,8.916101929321428,0
F22022,10,EAO+feed,1026,6.029900178753678,0
F22022,10,EAO+feed,1027,5.482807573611524,0
F22022,10,EAO+feed,1028,8.916101928306603,0
F22022,10,EAO+feed,1029,8.916101930580567,0
F22022,10,RS-EAO,1000,8.916101927781312,7
F22022,10,RS-EAO,1001,3.9865796353799965,0
F22022,10,RS-EAO,1002,8.91610192778137,6
F22022,10,RS-EAO,1003,8.916101927781483,0
F22022,10,RS-EAO,1004,3.9866271081160107,0
F22022,10,RS-EAO,1005,3.9974344235976673,0
F22022,10,RS-EAO,1006,3.9866166874354576,0
F22022,10,RS-EAO,1007,8.916101927781312,6
F22022,10,RS-EAO,1008,8.91610192778137,7
F22022,10,RS-EAO,1009,8.91610192778137,6
F22022,10,RS-EAO,1010,8.916101927782279,0
F22022,10,RS-EAO,1011,8.91610192778137,1
F22022,10,RS-EAO,1012,3.986580782903218,0
F22022,10,RS-EAO,1013,8.91610192778137,3
