problem,seed,f,viol,nfe,x,c1_selected,c2_selected,c1_accepted,c2_accepted,iters
cantilever,1025,1.3399563605991558,0.0,45030,"[6.0160161477949865, 5.309174726478165, 4.494329798328718, 3.5014736631744245, 2.1526652892101814]",47,14953,0,5108,500
cantilever,1026,1.33995636060332,0.0,45030,"[6.016004582357686, 5.309174682563321, 4.494336034528036, 3.5014782499783723, 2.152666075625789]",66,14934,0,9016,500
cantilever,1027,1.339956360599133,0.0,45030,"[6.016016855954578, 5.309173769818328, 4.494329868675593, 3.5014739817934633, 2.152665148744146]",54,14946,0,5319,500
cantilever,1028,1.3399563606353064,0.0,45030,"[6.016040136267254, 5.3091528674517345, 4.494315802438877, 3.501489474319095, 2.1526613450888474]",70,14930,0,9205,500
cantilever,1029,1.339956360599516,0.0,45030,"[6.016019412189707, 5.309171911458009, 4.4943278739078325, 3.5014746434528776, 2.152665783983822]",50,14950,0,7770,500
spring,1000,0.012665234290657246,0.0,45030,"[0.051698137502988024, 0.3569361338688038, 11.276173463330553]",51,14949,37,3310,500
spring,1001,0.01266523278840452,0.0,45030,"[0.05168912939257109, 0.35671938315599555, 11.288869407386553]",45,14955,45,3411,500
spring,1002,0.012665237355987315,0.0,45030,"[0.05167324058970983, 0.3563372595975928, 11.311307031176824]",54,14946,38,5293,500
spring,1003,0.012665242382274233,0.0,45030,"[0.051712000089569096, 0.35726984281556334, 11.256670920660335]",66,14934,55,4805,500
spring,1004,0.01266523285295297,0.0,45030,"[0.05169093832817175, 0.35676290306032926, 11.286318461596016]",48,14952,38,3070,500
spring,1005,0.012665451871858236,0.0,45030,"[0.051798743976210815, 0.3593621599685784, 11.135599120537405]",47,14953,36,6257,500
spring,1006,0.012665232794806022,0.0,45030,"[0.05168851642949575, 0.3567046369959688, 11.289733970230724]",51,14949,49,6044,500
spring,1007,0.012665232802869084,0.0,45030,"[0.05168816794315519, 0.3566962535894449, 11.290225532370107]",53,14947,46,3321,500
spring,1008,0.012665232801065388,0.0,45030,"[0.05168989461975702, 0.35673779283728446, 11.287790201326942]",49,14951,43,5044,500
spring,1009,0.012665312997379616,0.0,45030,"[0.051755413632559005, 0.3583161071311645, 11.195869991525148]",58,14942,46,4609,500
spring,1010,0.012665232788791574,0.0,45030,"[0.051688901897710124, 0.3567139102375989, 11.289190270436745]",52,14948,50,3449,500
spring,1011,0.012665429775264294,0.0,45030,"[0.05158523549194355, 0.3542251029614571, 11.436611523003121]",58,14942,41,4352,500
spring,1012,0.012690936686416007,0.0,45030,"[0.05288779867385928, 0.3862473291966268, 9.74673594036521]",48,14952,34,8301,500
spring,1013,0.012665766584038396,0.0,45030,"[0.05186039139084647, 0.36085350565849017, 11.050554699491226]",51,14949,36,5318,500
spring,1014,0.012665240144745822,0.0,45030,"[0.05166898897246142, 0.35623504951234836, 11.31732058929251]",58,14942,52,4900,500
spring,1015,0.012665374652909348,0.0,45030,"[0.051600945306231466, 0.35460160371676774, 11.414115151673467]",47,14953,45,2984,500
spring,1016,0.012665233130803942,0.0,45030,"[0.05169339449885257, 0.3568219993451696, 11.282855955639056]",55,14945,49,3979,500
spring,1017,0.00607614191588792,0.729689675967514,45030,"[0.05, 0.6076141915887919, 2.0]",551,14449,76,1452,500
