function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F12022,10,M1a_Km1.0,1019,3.979039320256561e-13,,,,
F12022,10,M1a_Km1.0,1020,2.2737367544323206e-13,,,,
F12022,10,M1a_Km1.0,1021,3.410605131648481e-13,,,,
F12022,10,M1a_Km1.0,1022,2.3305801732931286e-12,,,,
F12022,10,M1a_Km1.0,1023,5.684341886080802e-14,,,,
F12022,10,M1a_Km1.0,1024,1.1368683772161603e-13,,,,
F12022,10,M1a_Km1.0,1025,2.2737367544323206e-13,,,,
F12022,10,M1a_Km1.0,1026,1.7053025658242404e-13,,,,
F12022,10,M1a_Km1.0,1027,3.410605131648481e-13,,,,
F12022,10,M1a_Km1.0,1028,1.7053025658242404e-13,,,,
F12022,10,M1a_Km1.0,1029,9.663381206337363e-13,,,,
F12022,10,M1a_Km3.0,1000,5.115907697472721e-13,,,,
F12022,10,M1a_Km3.0,1001,1.1368683772161603e-13,,,,
F12022,10,M1a_Km3.0,1002,5.684341886080802e-14,,,,
F12022,10,M1a_Km3.0,1003,3.410605131648481e-13,,,,
F12022,10,M1a_Km3.0,1004,1.7621459846850485e-12,,,,
F12022,10,M1a_Km3.0,1005,3.410605131648481e-13,,,,
F12022,10,M1a_Km3.0,1006,3.410605131648481e-13,,,,
F12022,10,M1a_Km3.0,1007,1.7053025658242404e-13,,,,
F12022,10,M1a_Km3.0,1008,3.979039320256561e-13,,,,
F12022,10,M1a_Km3.0,1009,1.7053025658242404e-13,,,,
F12022,10,M1a_Km3.0,1010,1.5746763892821036e-09,,,,
F12022,10,M1a_Km3.0,1011,3.410605131648481e-13,,,,
F12022,10,M1a_Km3.0,1012,1.1368683772161603e-13,,,,
F12022,10,M1a_Km3.0,1013,1.1368683772161603e-13,,,,
F12022,10,M1a_Km3.0,1014,5.684341886080802e-14,,,,
F12022,10,M1a_Km3.0,1015,1.5347723092418164e-12,,,,
F12022,10,M1a_Km3.0,1016,2.8421709430404007e-13,,,,
F12022,10,M1a_Km3.0,1017,3.410605131648481e-13,,,,
F12022,10,M1a_Km3.0,1018,1.233502189279534e-11,,,,
F12022,10,M1a_Km3.0,1019,1.1368683772161603e-13,,,,
F12022,10,M1a_Km3.0,1020,6.252776074688882e-13,,,,
F12022,10,M1a_Km3.0,1021,5.684341886080802e-14,,,,
F12022,10,M1a_Km3.0,1022,1.7053025658242404e-13,,,,
F12022,10,M1a_Km3.0,1023,2.8421709430404007e-13,,,,
