problem,mean,median,std,min,max,viol_max,paper_mean,paper_std,paper_best,pass
cantilever,1.3399563616861887,1.3399563605994302,3.4402042825694387e-09,1.3399563605990743,1.3399563784735744,0.0,1.339956,7.204e-09,1.339956,True
reducer,2994.4710661468202,2994.4710661468202,1.1942250499462038e-13,2994.4710661468202,2994.4710661468207,0.0,2994.49,0.0076,2994.48,True
spring,0.01244766363634591,0.012665240951767102,0.0012034132207933241,0.00607614191588792,0.012699995424483447,0.729689675967514,0.012668,2e-06,0.012665,False
truss,263.8958433764684,263.89584337646835,3.656552513022444e-14,263.89584337646835,263.8958433764684,0.0,263.8958,2.87e-13,263.8958,True
vessel_relaxed,5885.332773616458,5885.332773616458,0.0,5885.332773616458,5885.332773616458,0.0,5885.341,0.002681,5885.333,True
