function,dim,variant,seed,err,iters,c1_acc,c2_acc
F12022,10,paper2|orig,1024,5.684341886080802e-14,249,31,2881
F12022,10,paper2|orig,1025,5.684341886080802e-14,250,48,2932
F12022,10,paper2|orig,1026,5.684341886080802e-14,249,51,2857
F12022,10,paper2|orig,1027,5.684341886080802e-14,250,50,3098
F12022,10,paper2|orig,1028,0.0,250,60,2804
F12022,10,paper2|orig,1029,0.0,250,65,2843
F12022,10,paper2|centroid,1000,0.0,248,2099,1270
F12022,10,paper2|centroid,1001,0.0,248,2158,1249
F12022,10,paper2|centroid,1002,0.0,248,2061,1303
F12022,10,paper2|centroid,1003,0.0,248,2129,1308
F12022,10,paper2|centroid,1004,1.7053025658242404e-13,248,2164,1225
F12022,10,paper2|centroid,1005,5.684341886080802e-14,248,2269,1268
F12022,10,paper2|centroid,1006,0.0,248,2070,1249
F12022,10,paper2|centroid,1007,5.684341886080802e-14,248,2172,1281
F12022,10,paper2|centroid,1008,5.684341886080802e-14,248,2192,1258
F12022,10,paper2|centroid,1009,0.0,248,2182,1288
F12022,10,paper2|centroid,1010,5.684341886080802e-14,248,2082,1232
F12022,10,paper2|centroid,1011,5.684341886080802e-14,248,2126,1333
F12022,10,paper2|centroid,1012,5.684341886080802e-14,248,2131,1216
F12022,10,paper2|centroid,1013,0.0,248,2226,1282
F12022,10,paper2|centroid,1014,1.1368683772161603e-13,248,2129,1261
F12022,10,paper2|centroid,1015,5.684341886080802e-14,248,2116,1253
F12022,10,paper2|centroid,1016,5.684341886080802e-14,248,2221,1242
F12022,10,paper2|centroid,1017,5.684341886080802e-14,248,2201,1243
F12022,10,paper2|centroid,1018,0.0,248,2251,1259
F12022,10,paper2|centroid,1019,5.684341886080802e-14,248,2170,1280
F12022,10,paper2|centroid,1020,0.0,248,2116,1289
F12022,10,paper2|centroid,1021,5.684341886080802e-14,248,2124,1254
F12022,10,paper2|centroid,1022,0.0,248,2116,1249
F12022,10,paper2|centroid,1023,5.684341886080802e-14,248,2221,1276
F12022,10,paper2|centroid,1024,5.684341886080802e-14,248,2159,1257
F12022,10,paper2|centroid,1025,5.684341886080802e-14,248,2138,1241
F12022,10,paper2|centroid,1026,5.684341886080802e-14,248,2117,1239
F12022,10,paper2|centroid,1027,0.0,248,2190,1210
F12022,10,paper2|centroid,1028,0.0,248,2137,1268
F12022,10,paper2|centroid,1029,0.0,248,2130,1280
F12022,10,c2only|orig,1000,2.09570316656027e-09,250,0,5844
F12022,10,c2only|orig,1001,1.1368683772161603e-13,249,0,3965
F12022,10,c2only|orig,1002,5.684341886080802e-14,249,0,4748
F12022,10,c2only|orig,1003,5.684341886080802e-14,250,0,5602
F12022,10,c2only|orig,1004,1.1368683772161603e-13,249,0,4709
F12022,10,c2only|orig,1005,5.632614374917466e-10,250,0,5815
F12022,10,c2only|orig,1006,1.7053025658242404e-13,249,0,3943
F12022,10,c2only|orig,1007,1.1368683772161603e-13,249,0,5158
F12022,10,c2only|orig,1008,7.389644451905042e-13,250,0,5337
F12022,10,c2only|orig,1009,2.8421709430404007e-13,250,0,5830
F12022,10,c2only|orig,1010,1.1368683772161603e-13,249,0,4770
F12022,10,c2only|orig,1011,2.8421709430404007e-13,249,0,4894
F12022,10,c2only|orig,1012,1.7053025658242404e-13,249,0,5002
F12022,10,c2only|orig,1013,1.1368683772161603e-13,249,0,5021
F12022,10,c2only|orig,1014,3.979039320256561e-13,249,0,4897
F12022,10,c2only|orig,1015,8.526512829121202e-13,250,0,5602
F12022,10,c2only|orig,1016,6.821210263296962e-13,250,0,5238
F12022,10,c2only|orig,1017,5.684341886080802e-14,249,0,4827
F12022,10,c2only|orig,1018,1.1368683772161603e-13,249,0,4730
F12022,10,c2only|orig,1019,6.252776074688882e-13,249,0,4953
F12022,10,c2only|orig,1020,2.2737367544323206e-13,249,0,5235
F12022,10,c2only|orig,1021,1.6484591469634324e-12,250,0,5848
F12022,10,c2only|orig,1022,5.684341886080802e-14,249,0,4953
F12022,10,c2only|orig,1023,3.410605131648481e-13,249,0,5441
F12022,10,c2only|orig,1024,2.2737367544323206e-13,250,0,5659
F12022,10,c2only|orig,1025,1.1368683772161603e-13,249,0,4296
F12022,10,c2only|orig,1026,3.410605131648481e-13,249,0,4213
F12022,10,c2only|orig,1027,2.5011104298755527e-12,250,0,5817
F12022,10,c2only|orig,1028,2.2737367544323206e-13,249,0,5395
F12022,10,c2only|orig,1029,3.115019353572279e-11,250,0,5816
F22022,10,code3|orig,1000,8.916102028550597,166,32,3779
F22022,10,code3|orig,1001,6.028928928073299,166,37,3179
F22022,10,code3|orig,1002,8.916101928768569,166,37,3776
F22022,10,code3|orig,1003,6.899807865824641,166,34,3726
F22022,10,code3|orig,1004,8.916101927801378,166,29,3663
F22022,10,code3|orig,1005,8.916101927782279,166,32,3676
F22022,10,code3|orig,1006,4.576264576873655,166,24,2862
F22022,10,code3|orig,1007,0.004909385179189485,166,23,3093
F22022,10,code3|orig,1008,0.006850131543330917,166,29,3386
F22022,10,code3|orig,1009,8.91610192785862,166,42,3258
F22022,10,code3|orig,1010,0.011816550606624787,166,32,3594
F22022,10,code3|orig,1011,6.460471930703989,166,30,3089
F22022,10,code3|orig,1012,5.866252444878285,166,32,3916
F22022,10,code3|orig,1013,8.91610205447273,166,27,3760
F22022,10,code3|orig,1014,8.916102001351874,166,24,3710
F22022,10,code3|orig,1015,8.916102040943997,166,41,3641
F22022,10,code3|orig,1016,5.253566213959573,166,33,3575
F22022,10,code3|orig,1017,0.0004545890373037764,166,31,3343
F22022,10,code3|orig,1018,0.2950476905313053,166,37,3335
F22022,10,code3|orig,1019,0.018916114249975635,166,30,3644
F22022,10,code3|orig,1020,4.383254463193737,166,30,3334
F22022,10,code3|orig,1021,4.039863575492575,166,33,2713
F22022,10,code3|orig,1022,8.916101927781767,166,25,3727
F22022,10,code3|orig,1023,8.916101927782847,166,29,3712
F22022,10,code3|orig,1024,6.67734534761513,166,29,3785
F22022,10,code3|orig,1025,8.916101929321428,166,31,3709
F22022,10,code3|orig,1026,6.029900178753678,166,28,3698
F22022,10,code3|orig,1027,5.482807573611524,166,23,3731
F22022,10,code3|orig,1028,8.916101928306603,166,42,3645
F22022,10,code3|orig,1029,8.916101930580567,166,35,3747
F22022,10,code3|centroid,1000,8.916101927781312,166,1436,1305
F22022,10,code3|centroid,1001,3.9865796353799965,166,2237,2127
F22022,10,code3|centroid,1002,8.91610192778137,166,1430,1314
F22022,10,code3|centroid,1003,8.916101927781483,166,1415,2169
F22022,10,code3|centroid,1004,3.9866271081160107,166,1380,2376
F22022,10,code3|centroid,1005,3.9974344235976673,166,1344,2471
F22022,10,code3|centroid,1006,3.9866166874354576,166,1638,2335
F22022,10,code3|centroid,1007,8.916101927781312,166,1566,1159
F22022,10,code3|centroid,1008,8.91610192778137,166,1397,1268
F22022,10,code3|centroid,1009,8.91610192778137,166,1326,1441
F22022,10,code3|centroid,1010,8.916101927782279,166,2744,1847
F22022,10,code3|centroid,1011,8.91610192778137,166,338,2680
F22022,10,code3|centroid,1012,3.986580782903218,166,2313,2067
F22022,10,code3|centroid,1013,8.91610192778137,166,1027,1859
F22022,10,code3|centroid,1014,8.916101927781426,166,259,2601
F22022,10,code3|centroid,1015,3.9865839041792697,166,1786,2313
F22022,10,code3|centroid,1016,3.4962040956543206e-05,166,2161,2167
F22022,10,code3|centroid,1017,3.9865791332480285,166,1916,2146
F22022,10,code3|centroid,1018,3.9866697444051624,166,2273,2158
F22022,10,code3|centroid,1019,8.91610192778137,166,1074,1834
F22022,10,code3|centroid,1020,4.009475129508587,166,1483,2365
F22022,10,code3|centroid,1021,4.084398464848448,166,822,2777
