function,dim,variant,seed,err
F12022,10,EAO,1000,2.008818000831525e-08
F12022,10,EAO,1001,5.6884914556576405e-09
F12022,10,EAO,1002,8.128608897095546e-12
F12022,10,EAO,1003,6.423306331271306e-12
F12022,10,EAO,1004,3.626362286013318e-07
F12022,10,EAO,1005,5.197762220632285e-10
F12022,10,EAO,1006,8.850520316627808e-11
F12022,10,EAO,1007,4.547473508864641e-13
F12022,10,EAO,1008,1.6200374375330284e-11
F12022,10,EAO,1009,7.61809815230663e-09
F12022,10,EAO,1010,1.2215650713187642e-10
F12022,10,EAO,1011,1.8985701899509877e-11
F12022,10,EAO,1012,1.4267698134062812e-11
F12022,10,EAO,1013,2.8421709430404007e-13
F12022,10,EAO,1014,2.7320595563651295e-08
F12022,10,EAO,1015,5.684341886080802e-14
F12022,10,EAO,1016,3.979039320256561e-13
F12022,10,EAO,1017,2.846047095772519e-07
F12022,10,EAO,1018,2.5220175530193956e-06
F12022,10,EAO,1019,1.716513224891969e-07
F12022,10,EAO,1020,5.6274984672199935e-12
F12022,10,EAO,1021,1.460875864722766e-11
F12022,10,EAO,1022,4.750916104967473e-09
F12022,10,EAO,1023,5.5649707064731047e-11
F12022,10,EAO,1024,9.094947017729282e-13
F12022,10,EAO,1025,4.769731276610401e-10
F12022,10,EAO,1026,2.6830093702301383e-11
F12022,10,EAO,1027,8.135998541547451e-10
F12022,10,EAO,1028,9.912926657307253e-07
F12022,10,EAO,1029,9.881199503070093e-08
F12022,10,RS-EAO(centroid),1000,0.0
F12022,10,RS-EAO(centroid),1001,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1002,0.0
F12022,10,RS-EAO(centroid),1003,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1004,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1005,0.0
F12022,10,RS-EAO(centroid),1006,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1007,0.0
F12022,10,RS-EAO(centroid),1008,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1009,0.0
F12022,10,RS-EAO(centroid),1010,0.0
F12022,10,RS-EAO(centroid),1011,0.0
F12022,10,RS-EAO(centroid),1012,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1013,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1014,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1015,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1016,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1017,0.0
F12022,10,RS-EAO(centroid),1018,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1019,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1020,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1021,5.684341886080802e-14
F12022,10,RS-EAO(centroid),1022,5.684341886080802e-14
