cfg,mean_rank,feeds_per_run
S0.1_st20_e0.3,4.958333333333333,0.8833333333333333
S0.02_st20_e0.2,5.416666666666667,0.8972222222222223
S0.05_st20_e0.2,5.416666666666667,0.8972222222222223
S0.1_st20_e0.2,5.416666666666667,0.8972222222222223
S0.1_st20_e0.1,5.583333333333333,0.9138888888888889
S0.1_st5_e0.2,5.583333333333333,4.727777777777778
S0.05_st5_e0.2,6.333333333333333,4.575
S0.05_st10_e0.2,6.541666666666667,2.1444444444444444
S0.1_st10_e0.2,6.75,2.1555555555555554
S0.02_st5_e0.2,6.791666666666667,4.5472222222222225
S0.02_st10_e0.2,7.208333333333333,2.125
