fea,cv_pred
134.36682663515327,136.30307548546944
112.58751922225925,105.05077879133884
36.22364110460595,43.664381796697505
84.8043783709897,89.21394973648745
178.6627196851918,159.97561857515902
119.18381402875248,122.52091280353737
63.9352885053184,62.088752106821914
387.6361653627009,379.1061978534888
416.6005561060081,337.17109776640797
32.062878835662694,29.241468284859977
101.078659059064,98.10178199900022
41.31276356128193,45.164265270667386
68.54124802121044,64.52230857997395
40.592962948261686,37.91429668990807
30.056868109418446,31.188294871028848
54.110767380917565,42.48427869295346
72.48364644303841,76.95055492751558
102.52990792273408,95.63445311870254
74.45202285121964,68.11839343148075
63.753177760537966,64.63738351433962
80.24332675406174,78.53901369652003
200.0158249818151,178.03200042277317
71.62486271157087,75.01447263713864
57.515719225060685,57.385947589452954
65.593139614518,49.05659292278079
142.8617983313079,124.21441524853066
235.38425927231074,259.7445651240362
64.953649286302,61.467335011438145
68.5674654269648,76.42915766025038
253.68185619126962,268.14248967818355
210.8676809048784,206.57184770419
363.59666119488173,308.1799897850376
120.32850730917158,118.33788115635346
57.25209005815882,57.14188740183347
44.35793694383877,59.77692155811614
269.15978014300725,250.10769118977169
94.25951195981088,83.41769963409493
132.73618800467463,137.84248391524537
159.34457041410604,196.80537137624134
116.22634152839808,110.9510602563101
69.32300440677152,70.70368820578261
235.27657559331612,274.49530653663595
56.11876458690706,51.56632748243951
69.68914722261205,59.97915220289626
156.77292216902214,166.6410218681385
83.91781509678624,102.08758440711082
65.34502220718873,78.99378759758639
146.9451319080213,151.21346348431317
191.94478016881965,181.77331225108284
79.86491165674599,56.21022065950631
232.3641557229251,206.96575264762498
121.95545627168852,157.83985102292135
63.69601776327836,60.33998238193686
57.28030202048855,53.36056713138594
54.81696805960323,57.8121741819678
47.05183162615336,51.434221134902096
404.2773342684291,374.80520045115145
146.5870392528627,155.40530008564627
31.46167086582475,33.49904562866527
89.6982104527845,74.83333256773999
114.14036266176211,104.87840416614661
144.55291096739197,150.52559134877612
96.52010144401515,106.61436135251871
102.72845341488959,105.75299422752893
54.61063108780575,43.62271981855838
414.37009901239736,376.09043119395983
179.41608551239744,161.32368508676666
134.05232410702192,147.25479501079823
126.69196050199328,101.21603953100383
87.19658720937612,84.01494037017801
115.67627039150085,113.54831633591009
94.64684074661156,92.0814968866206
88.38144621400879,77.90103040940699
102.5768440728312,101.70465538673326
156.70036487183927,154.46751851325632
124.01099048419411,146.9081756877053
32.0681631002021,33.79428858240141
217.836914944554,218.2484410821613
86.46704315870227,82.93759898700974
324.5746768229981,280.5956354883391
205.23470915072045,204.10204569724345
68.4354216567893,60.88592544401567
45.32197388350519,45.06823261279659
50.49320822860341,52.3087254598691
83.95045057524948,77.49151077845272
68.67330327238923,73.66029330727788
30.2695382080815,33.45217366609457
69.93668291805453,65.98704117530758
42.555930807260886,39.72523587266027
157.71176917125717,182.46355688434457
175.24089669965142,122.09192146980371
183.73917630799156,192.28378958626894
54.464492199373154,45.66235944930967
40.0463990359027,43.560768279366584
84.46380913496554,81.37039865067665
53.14490684963957,52.206463872900926
155.0581089851515,134.77084884500442
52.29553606135698,51.44756125662649
192.9537860522052,173.76471977239723
34.266108303569425,34.01906200827735
70.94809769069887,61.37679572419195
41.394942828454205,38.37647537139326
238.9808926171262,248.45452261376929
48.880972610453924,57.80916131179989
61.90781506212552,63.60973989583047
27.898682057302775,33.33924069858977
127.8570924491383,148.82745950690187
94.0987170373041,106.00547343543802
154.10853892599445,157.1992539521134
34.804219002414634,37.44320991223006
135.5051588308821,128.35614851672142
281.5791101208128,288.70635261160237
44.28667379306858,44.39303218990074
93.93325076031071,91.03609866382102
56.4309863058264,58.53581719933575
81.16976366596084,82.77076951845319
57.92171989682793,80.11783598808226
241.9218018037399,188.55306336997742
74.36748046670964,80.6535569503013
104.4885624896835,145.6533929453645
172.56912595903125,154.05488996736446
181.6742744298162,189.99835553855803
179.65185067447328,242.74580691321447
192.82507263930887,194.77473343293295
186.51006906495687,186.61120672249967
187.7343754312928,173.06969546911932
181.24640564044722,181.77382266958062
170.9127566570402,172.80007667157747
171.75975525808894,183.3074451482912
180.2149850532888,180.31445621791244
177.49332408399033,169.5849830002665
161.5028035182254,165.5844167614697
185.8113936516503,176.52866677143814
173.03911686034894,176.90877223941828
176.35064845096696,170.2587647060745
167.65440980376107,179.32090476110162
