problem,seed,c1_sel_share,c1_acc_share,c1_acc_rate
classical_F1_d10,1000,0.6429718875502008,0.6286672254819782,0.9369144284821986
classical_F1_d10,1001,0.6469879518072289,0.6327044025157232,0.9366852886405959
classical_F1_d10,1002,0.6504016064257028,0.6373718351119481,0.9404137079345477
classical_F1_d10,1003,0.6469879518072289,0.6346394330971238,0.9450651769087524
classical_F1_d10,1004,0.6518072289156627,0.6378117795011528,0.9374614910659272
classical_F1_d10,1005,0.6508032128514056,0.6357518401682439,0.9327368096266584
classical_F1_d10,1006,0.6295180722891566,0.6163522012578616,0.937799043062201
classical_F1_d10,1007,0.6534136546184739,0.6402349486049926,0.9379225568531039
classical_F1_d10,1008,0.6311244979919679,0.6182503139388865,0.9398663697104677
classical_F1_d10,1009,0.6387550200803213,0.6238724564715754,0.9349261238604213
classical_F1_d10,1010,0.6403614457831325,0.6270689293945108,0.938538726873628
classical_F1_d10,1011,0.6439759036144578,0.6314578540054382,0.9413782351106954
classical_F1_d10,1012,0.6437751004016065,0.629039026437264,0.9351216469120399
classical_F1_d10,1013,0.648995983935743,0.6332420476090163,0.9300742574257426
classical_F1_d10,1014,0.6375502008032129,0.6231124161073825,0.935748031496063
classical_F1_d10,1015,0.6469879518072289,0.632563025210084,0.9345127250155183
classical_F1_d10,1016,0.6461847389558233,0.6318105616093881,0.9369173399627098
classical_F1_d10,1017,0.6393574297188755,0.6270903010033445,0.9422110552763819
classical_F1_d10,1018,0.643574297188755,0.6286672254819782,0.9360374414976599
classical_F1_d10,1019,0.6540160642570281,0.6407949790794979,0.9404359840343874
classical_F1_d10,1020,0.6516064257028112,0.6362679022746419,0.9309707241910632
classical_F1_d10,1021,0.636144578313253,0.6206969376979936,0.9277146464646465
classical_F1_d10,1022,0.6443775100401606,0.6298551333193365,0.9348706762231225
classical_F1_d10,1023,0.6441767068273092,0.6297621553357188,0.9326683291770573
classical_F1_d10,1024,0.6427710843373494,0.6279849183074989,0.936582318025617
classical_F1_d10,1025,0.655421686746988,0.6397306397306397,0.9313725490196079
classical_F1_d10,1026,0.65,0.635868426566101,0.9375965400061785
classical_F1_d10,1027,0.641566265060241,0.6296450939457202,0.9439749608763693
classical_F1_d10,1028,0.6469879518072289,0.6309148264984227,0.931098696461825
classical_F1_d10,1029,0.6457831325301204,0.6312026913372581,0.9334577114427861
cec2022_F1_d10,1000,0.01967871485943775,0.008656873032528857,0.336734693877551
cec2022_F1_d10,1001,0.023493975903614458,0.011627906976744186,0.37606837606837606
cec2022_F1_d10,1002,0.025903614457831327,0.010249671484888305,0.3023255813953488
cec2022_F1_d10,1003,0.01706827309236948,0.010712372790573112,0.47058823529411764
cec2022_F1_d10,1004,0.01887550200803213,0.0079155672823219,0.3191489361702128
cec2022_F1_d10,1005,0.021285140562248995,0.010084925690021231,0.3584905660377358
cec2022_F1_d10,1006,0.01746987951807229,0.009399477806788513,0.41379310344827586
cec2022_F1_d10,1007,0.020883534136546186,0.010971367407010971,0.3942307692307692
cec2022_F1_d10,1008,0.024497991967871485,0.009565667011375388,0.30327868852459017
cec2022_F1_d10,1009,0.024497991967871485,0.009746088740702744,0.3114754098360656
cec2022_F1_d10,1010,0.021686746987951807,0.009623095429029671,0.3333333333333333
cec2022_F1_d10,1011,0.02208835341365462,0.009751090582499358,0.34545454545454546
cec2022_F1_d10,1012,0.01746987951807229,0.007802340702210663,0.3448275862068966
cec2022_F1_d10,1013,0.0214859437751004,0.01224381155177003,0.42990654205607476
cec2022_F1_d10,1014,0.019076305220883535,0.009844559585492229,0.4
cec2022_F1_d10,1015,0.020281124497991968,0.011137011137011137,0.42574257425742573
cec2022_F1_d10,1016,0.017269076305220885,0.009393939393939394,0.36046511627906974
cec2022_F1_d10,1017,0.019076305220883535,0.01107011070110701,0.4421052631578947
cec2022_F1_d10,1018,0.017269076305220885,0.010523546435148644,0.46511627906976744
cec2022_F1_d10,1019,0.017269076305220885,0.010201342281879194,0.4418604651162791
cec2022_F1_d10,1020,0.02108433734939759,0.00814931650893796,0.29523809523809524
cec2022_F1_d10,1021,0.021285140562248995,0.009713835652402206,0.3490566037735849
cec2022_F1_d10,1022,0.016666666666666666,0.009321595028482652,0.43373493975903615
cec2022_F1_d10,1023,0.018473895582329317,0.007279590186033971,0.29347826086956524
cec2022_F1_d10,1024,0.02208835341365462,0.008916863362182009,0.3090909090909091
cec2022_F1_d10,1025,0.01746987951807229,0.008588298443370907,0.367816091954023
cec2022_F1_d10,1026,0.020481927710843374,0.010540184453227932,0.39215686274509803
cec2022_F1_d10,1027,0.019879518072289156,0.01116593092703194,0.43434343434343436
cec2022_F1_d10,1028,0.02389558232931727,0.010523546435148644,0.33613445378151263
cec2022_F1_d10,1029,0.016265060240963854,0.009947643979057591,0.4691358024691358
spring,1000,0.009437751004016065,0.019192913385826772,0.8297872340425532
spring,1001,0.008835341365461847,0.02849740932642487,1.0
spring,1002,0.010240963855421687,0.017043202536662704,0.8431372549019608
spring,1003,0.010441767068273093,0.021505376344086023,0.8461538461538461
spring,1004,0.008634538152610442,0.02458471760797342,0.8604651162790697
spring,1005,0.010040160642570281,0.02154696132596685,0.78
spring,1006,0.010240963855421687,0.02181818181818182,0.9411764705882353
spring,1007,0.009437751004016065,0.02267818574514039,0.8936170212765957
spring,1008,0.009036144578313253,0.024891101431238332,0.8888888888888888
spring,1009,0.01144578313253012,0.024793388429752067,0.8421052631578947
spring,1010,0.010441767068273093,0.0163098878695209,0.9230769230769231
spring,1011,0.01104417670682731,0.018009004502251125,0.6545454545454545
spring,1012,0.00823293172690763,0.010197578075207138,0.7804878048780488
spring,1013,0.008032128514056224,0.016350210970464137,0.775
spring,1014,0.01104417670682731,0.024975024975024976,0.9090909090909091
spring,1015,0.009437751004016065,0.024263431542461005,0.8936170212765957
spring,1016,0.010040160642570281,0.02301150575287644,0.92
spring,1017,0.07248995983935742,0.062193126022913256,0.21052631578947367
spring,1018,0.008634538152610442,0.017926356589147287,0.8604651162790697
spring,1019,0.010040160642570281,0.020868824531516183,0.98
spring,1020,0.009036144578313253,0.02143260011280316,0.8444444444444444
spring,1021,0.010441767068273093,0.01597817614964926,0.7884615384615384
spring,1022,0.008433734939759036,0.026058631921824105,0.9523809523809523
spring,1023,0.009437751004016065,0.018984547461368653,0.9148936170212766
spring,1024,0.009036144578313253,0.012484897301651228,0.6888888888888889
spring,1025,0.01144578313253012,0.02,0.8596491228070176
spring,1026,0.011244979919678716,0.01203332304844184,0.6964285714285714
spring,1027,0.01285140562248996,0.02223120452708165,0.859375
spring,1028,0.010240963855421687,0.0199479618386817,0.9019607843137255
spring,1029,0.010040160642570281,0.021967526265520534,0.92
